Control_ID,Control_Type,Domain_Group,Control_Description,Severity,Required_Keywords,Optional_Keywords,Failure_Indicators,Evaluation_Method
1,Access Management,Identity & Access,Multi-Factor Authentication (MFA):ĀRequiring a password plus a phone code to log in.,5,"mfa, multi-factor, 2fa, two-factor, multi factor authentication","authentication app, sms code, one-time password, otp, token, push notification, verification code","password only, no mfa, single factor, basic login only, don't use mfa, just a password, not using mfa, mfa not enabled, single factor, just a password",KEYWORD_MATCH
2,Access Management,Identity & Access,Quarterly reviews to ensure terminated employees have their access revoked.,5,"access review, user access review, quarterly review, periodic access review","termination, terminated employee, deprovision, revoke access, disable account","no review, inactive accounts, terminated users active, no access audit, no formal review, informal process, no formal process",KEYWORD_MATCH
3,Access Management,Identity & Access,Privileged accounts (admin/root) are restricted to authorized personnel.,5,"privileged access, admin account, root access, elevated privileges, authorized personnel, role-based, administrative access, elevated access, requires approval","restricted access, authorized personnel, role-based access, rbac, administrative access, requires management approval, management approval, elevated access management approval, elevated access, restricted to IT, approved elevated access","shared admin, unrestricted access, excessive privileges, all users admin, share admin accounts, shared accounts, shared admin access",KEYWORD_MATCH
4,Access Management,Identity & Access,"Password policies enforce complexity, expiration, and reuse restrictions.",4,"password policy, password complexity, expiration, password rules, complexity requirements, expire","reuse restriction, password length, special characters, rotation","weak password, no expiration, default passwords, reused passwords",KEYWORD_MATCH
5,Change Management,Change Control,Testing & User Acceptance Testing (UAT):ĀEnsuring new software features are tested for bugs before deployment.,4,"uat, user acceptance testing, testing completed, test validation","qa testing, bug testing, test cases, test results, defect resolution","no testing, untested code, bugs in production, no validation",KEYWORD_MATCH
6,Change Management,Change Control,Change Authorization:ĀRequiring documented approval before promoting code from development to production.,5,"change approval, approved change, authorization, change request, documented approval, approved before deployment, production approval","change ticket, documented approval, sign-off, change management process, approval workflow, change governance, release approval, release management, deployment approval, requires a ticket, approval before deployement","no approval, unauthorized change, direct production change",KEYWORD_MATCH
7,Physical Security,Infrastructure Security,"Physical Security:ĀKeycards, biometric locks, and surveillance for data centers.",3,"physical security, keycard access, biometric access, facility security, keycard entry, monitored by cameras","surveillance, cameras, badge access, security controls","unrestricted physical access, no security, open facility",KEYWORD_MATCH
8,Change Management,Change Control,Segregation of Duties (SoD):ĀEnsuring the person developing a change is not the same person who approves it for production.,5,"segregation of duties, sod, separation of duties, cannot approve own changes, own changes, separate team member","independent approval, dual control, role separation, approval separation, maker checker, separate team member, separate reviewer, separate approver, reviewed by another person, approved by another team member, different person approves, separate team member reviews","same person approval, no separation, developer approves own change, self approval, approves own change, no approval required",KEYWORD_MATCH
9,Operations,IT Operations,"Automated Backups:ĀDaily, weekly, or real-time backups of financial databases.",5,"automated backup, data backup, scheduled backup, daily backup, regular backup","daily backup, weekly backup, disaster recovery, restore testing, backup retention, recovery plan, data restoration","no backup, missing backup, data loss, no recovery, no formal procress, do not do backups, no backups, missing backup, no recovery",KEYWORD_MATCH
10,Operations,IT Operations,"Job Scheduling Monitoring:ĀReviewing logs to ensure automated batch processes (e.g., overnight payments) completed successfully.",4,"job monitoring, batch processing, job logs, process monitoring, monitor batch jobs, review logs","log review, scheduled jobs, automation monitoring, scheduler, cron job","no monitoring, failed jobs not reviewed, missed processing, no logs, donÆt monitor jobs, no log review, not monitored",KEYWORD_MATCH
